City,Source Link,Paragraph Content
Kaohsiung,https://wikitravel.org/en/Kaohsiung,Locals consider the tap water NOT to be potable%2C though as in most of Taiwan%2C the government claims water quality is now up to international standards. Filtered water dispensing stations are present throughout the city%2C though some have been accused of simply distributing tap water. Restaurant water is safe%2C with the possible exception of some lunchbox eateries and stands on the street.
Sanya,https://wikitravel.org/en/Sanya,The tap water%2C even in nice hotels%2C should not be considered safe to drink as the tap water in Sanya is generally not potable. Bring or buy bottled water if you plan to be outside of your accommodations for long periods of time. If you have access to a kettle in your hotel room or rented apartment%2C boiled water is fine to drink.
Shanghai,https://wikitravel.org/en/Shanghai,Do not drink Shanghai's tap water unless it is boiled or goes through purification process. Even when you are staying at a five-star hotel. Drinking the water is relatively safe when it has been boiled; however%2C tap water is also said to contain high amounts of heavy metals which are not removed by boiling.  When buying bottled water%2C you will come across a whole range of mineral water brands. Cheaper brands cost ¥1-2.50 and are in all the convenience stores and street stands. If you're worried about the bottled water%2C check if the seal has been tampered with. For the very worried%2C imported bottled water is available in the basement supermarkets of Isetan%2C Jiuguang%2C and Takashimaya department stores (expect to pay ¥15-30 per 2L)%2C as well as some other supermarkets specializing in imports. As of spring 2013%2C NONGFU Springs water has been found not to meet national standards and is best avoided until we see otherwise.
Shenzhen,https://wikitravel.org/en/Shenzhen,Tap Water is  safe to drink in the Meilin district and several nearby districts%2C but probably not in the area where you are staying. Use the free bottled water or distilled water provided by your hotel or buy some. It's easily available in all convenience stores. However%2C if you are buying water for 5 RMB a bottle%2C you are getting majorly ripped off.
Suzhou,https://wikitravel.org/en/Suzhou,Like in most of China%2C tap water is not safe for drinking%2C but fine for washing and cleaning teeth%2C and safe if boiled.
Suzhou,https://wikitravel.org/en/Suzhou,Like in most of China%2C tap water is not safe for drinking%2C but fine for washing and cleaning teeth%2C and safe if boiled.
Hong Kong,https://wikitravel.org/en/Hong_Kong,Tap water in Hong Kong has been proven to be drinkable%2C although most of the local people still prefer to boil and chill their drinking water when it is taken from the tap. The official advice from the Water Board is that the water is perfectly safe to drink unless you are living in an old building with outdated plumbing and poorly maintained water tanks. Bottled water is strongly recommended by locals but remember that Hong Kong's landfill sites are filling up fast and plastic bottles are a major environmental problem%2C so use recycling bins where provided.
Macau,https://wikitravel.org/en/Macau,Whilst tap water is technically safe to drink (taste aside)%2C most locals boil or filter their water or buy inexpensive bottled water%2C which you are also recommended to do so. A 2.5 litre bottle of drinking water starts around $0.25 in supermarkets.
Armenia,https://wikitravel.org/en/Armenia,The tap water is generally safe as it comes directly from mountains%2C but you may also purchase bottled water. You can get both mineral water and spring water on almost every street corner in both rural areas and the capital.
Manizales,https://wikitravel.org/en/Manizales,The water quality here is excellent (Manizales' water is on the top 10 of best quality drinking waters in the world)%2C it is very pure also it is possible to drink straight from the tap here (but not in all parts of Colombia is this true)%2C so no need to purchase bottled water and taste is great!
Pereira,https://wikitravel.org/en/Pereira,The water quality here is excellent (Pereira water is on the top 20 of best quality drinking waters in the world). It is very pure also it is possible to drink straight from the tap here (but not in all parts of Colombia is this true)%2C so no need to purchase bottled water and taste is great!
Lemesos,https://wikitravel.org/en/Limassol,Drinking water: It is generally safe to drink water directly from the tap. Most apartments/hotels would have a separate tap provided along with the sink%2C for water that bypasses the storage tank on the roof.
Kinshasa,https://wikitravel.org/en/Kinshasa,Do not drink from the tap. Bottled water is readily available.  Also%2C when cleaning your teeth make sure that you use bottled water.
Copenhagen,https://wikitravel.org/en/Copenhagen,Going on a canal tour of the inner harbour and canals is an excellent and easy way to see many of the city's attractions%2C and fortunately there are many options depending on your taste and preferences. DFDS Canal Tours operates both a unguided hop-on hop-off service%2C branded as the water bus%2C arranged into three circular trips at the northern%2C central and southern part of the inner harbour and canals. They also have three guided tours%2C either by a pre-recorded tape available in many languages%2C or live English & Danish commentary by a guide. Be forewarned though%2C after 75 minutes this can get a bit loud if you are not normally attracted to this sort of tourism. Netto-bådene offers a single fixed tour%2C but at a much lower price. Please note that services are scaled back considerably between October and mid-March. If you are visiting during winter%2C you might want to opt for DFDS' red guided tour%2C as it offers a heated%2C glass-roofed boat at this time of the year. Both companies offer starting points in either Nyhavn or Gammel Strand (opposite the parliament). A different option is the public harbour bus%2C which%2C while it doesn't enter the canals%2C is much faster and is an integrated part of the public transportation system using the same tickets as buses and trains.
Cairo,https://wikitravel.org/en/Cairo,For health reasons it is advisable not to drink tap water or eat unpeeled fresh fruits and vegetables -- at least for the first few days of the visit. There are few solely vegetarian options%2C L'aubergine in Zamalek is a good restaurant for vegetarian food. Otherwise%2C Egyptian cuisine is dominated by vegetable courses%2C but be aware of "hidden" meat in stock%2C sauces and the like. One should also be cautious about sushis( slushees?) or ice creams sold outside of main hotels. Also%2C if served eggs%2C one should be cautious to ensure that they are fully cooked (sunny side up eggs may allow certain organisms to be transmitted).
Cairo,https://wikitravel.org/en/Cairo,A health reminder Use extra care if you choose to consume beverages from fruit stalls. In general%2C food handling procedures are not up to Western food sanitation standards. It should also be noted that some vendors mix their fruit juices with less-than-perfect tap-water.
Cairo,https://wikitravel.org/en/Cairo,As elsewhere in Egypt%2C be careful with what you eat. Raw leafy vegetables%2C egg-based dressings like mayonnaise and minced meat are particularly risky. Avoid cold salads and puddings from buffets even in the 5* hotels just to be on the safe side.Opinions on tap water vary%2C but most visitors choose to stick to the bottled stuff. Large bottles of water can be purchased for 6-7 LE. Avoid ice in drinks%2C and only eat fruit with a skin you can wash or peel.You may find that tummy medications you bring from home simply don't work.All visitors would do well to buy from any pharmacy Egyptian brand drugs. The best and most common being Entocid and Antinal. Diarrhea and vomiting can almost always be stopped by taking 2 of these tablets with a glass of water in a few hours.If symptoms persist%2C it is wise to consult a doctor as dehydration in Summer can come on quickly.
Asmara,https://wikitravel.org/en/Asmara,Drink a lot because Asmara will dry you out. Mineral water is there in abundance and that is really the only water you can drink. Don't drink the tapwater if you value your health. Similarly%2C there are also a lot of bottled fruit juices%2C 'Fresh' juices are typically safe to drink in the cleaner bars and restaurants.
Tampere,https://wikitravel.org/en/Tampere,Quality-wise there are no really avoidable restaurants in the city either; some kebab joints can be a little bit disappointing%2C but at least the Finnish hygiene laws make sure that there's nothing wrong with the food per se. Tap water is safe to drink anywhere in Tampere (and in Finland).
Lyon,https://wikitravel.org/en/Lyon,Restaurants have their menus with prices displayed outside. As everywhere in France%2C the prices always include service%2C bread and tap water (ask for a carafe of water). Tipping is rare and only expected if you are particularly satisfied with the service. This is especially true in budget or mid-range restaurants%2C maybe less so in expensive places where it may be considered more appropriate; nothing is compulsory%2C though. Typical tips depend%2C of course%2C on the price of the menu and your level of satisfaction but they are generally not as high as in the US%2C for example. If you pay by credit card and wish to add a tip%2C you can tell the person in charge how much he/she should charge your card.
Nice,https://wikitravel.org/en/Nice,With the hot Niçois summers%2C carrying a bottle of water is almost a must. Bear in mind the largest single complaint to the municipal authority tourist department is the offering in restaurants of branded water bottles whose seal has been broken - ie refilled with tap water - and charged as Perrier or Evian.
Paris,https://wikitravel.org/en/Paris,Eating out in Paris can be expensive. However don't believe people when they say you can't do Paris on the cheap - you can! The key is to stay away from the beaten tracks and the obviously expensive Champs Elysées. Around the lesser visited quarters especially%2C there are many cheap and yummy restaurants to be found. The key is to order from the prix-fixe menu%2C and not off the A la Carte menu unless you want to pay an arm and a leg. In many places a three course meal can be found for about €15. This way you can sample the food cheaply and is usually more "French". Ask for "une carafe d'eau" (oon karaaf doe) to get free tap water.
Libreville,https://wikitravel.org/en/Libreville,Eating at any good restaurant ends up costing about $24+ for the meal and drinks. Not cheap but it is usually worth it! There are some high end restaurants that can be compared to the best restaurants in Western metropoles. The standard of quality in cheaper restaurants is high. Try one of the three Papa Union restaurants. A great place to have a meal is the restaurant/hotel Excellence in the quartier Ancien Sobraga. It is run by a Belgian guy%2C and they serve Python a la sauce tomate. Delicious. The main road leading up into the Louis area (from the seafront near Jeanne Eboli Hospital) has a good range of restaurants and clubs. Costa Sylvia Pizzeria makes a very nice Neptune pizza. The Chinese restaurant opposite Le Warhol's is nice too.The good thing about Libreville is that one can eat salads in the restaurants%2C and there is no need to be afraid of the ice cubes in your drink. The tap water is absolutely ok.  L'Emir has very good Lebanese food and the owners are friendly.
Thessaloniki,https://wikitravel.org/en/Thessaloniki,Tap water is safe and that's what people of the city drink%2C but in some places in the city center you might get a slight "taste" from the water%2C due to old pipelines in the buildings. For peace of mind%2C you might want to buy bottled water. Greece is also a sunny place and if your skin is light-colored%2C intense sunlight can be a serious danger. Use sunscreen%2C a hat and sunglasses.
Quetzaltenango,https://wikitravel.org/en/Quetzaltenango,Don't drink the tap water. Some hostels will have a water filter%2C which many drink from%2C and it seems to be safe. Otherwise%2C drink purified water (agua pura).
Budapest,https://wikitravel.org/en/Budapest,Budapest is famous for its thermal baths%2C where tourists and locals go to swim%2C relax%2C and soak in hot or cold mineral waters. Thermal baths differ from normal baths or swimming pools because their hot water is drawn up from deep under the earth's surface where temperatures are higher. The thermal hot water saves on heating bills and also has different mineral contents compared to normal tap water. Soaking in certain types of mineral water is considered to have health benefits for some types of health problems%2C so it's not uncommon for Hungarians or visitors to come to the baths for therapeutic reasons%2C sometimes even prescribed by a doctor. Thermal bathing is more popular in Hungary than in other destinations for several reasons. First%2C because of Budapest's geography%2C thermal waters run closer to the surface here than in other places. Secondly%2C thermal bathing was (and is) popular among many Turkish cultures%2C and Hungary was occupied by the Turkish people of the Ottoman Empire for many years. In Budapest%2C some thermal baths are large%2C historic complexes visited as a cultural as well as a bathing experience. Other thermal baths are operated more as spa hotels%2C with thermal water but in a modern%2C spa-like atmosphere.
Budapest,https://wikitravel.org/en/Budapest,Tap water throughout Budapest is safe to drink%2C so carry a bottle you can refill. Public fountains are often available throughout the city. Some look like regular drinking fountains. Others are decorative fountains (e.g. statue of a lion with water coming from it's mouth) but are also safe to drink from. It can be hard to tell which fountains are for drinking%2C but it's likely okay if there's either a steady stream of flowing water (versus water bubbling up from a spout)%2C a button that makes the water flow%2C and/or if you can walk right up to the stream of water (versus if there's a guard rail or fence). If in doubt%2C ask someone.
Belgaum,https://wikitravel.org/en/Belgaum,Gokak Falls: Gokak Falls is a waterfall known for its beauty. It is at a distance of 60 Kms from Belgaum and 10kms from Gokak town. Located right on the main road is a celebrated tourist centre in the district. This falls has a height of about 170 feet. The river Ghataprapha after winding a course of a long route takes a leap of 52 meters%2C over a rocky bed 170 feet down. The falls is famous for its spread and shape. The rugged valley and the picturesque is what inspires poetry. The dull roar of the falls can be heard much before you reach it. "Except in width and colour of the water%2C the general features of the fall%2C its height%2C shape and rapidity above are much like those of Niagara". The falls are horse-shoe shaped at the crest%2C with a flood breadth of 177 metres. June to September is the best season to visit Gokak as it bees in full bloom. Electricity was generated here for the first time in the country in 1887. This generating station can be reached on the rope way.
Chennai,https://wikitravel.org/en/Chennai,While in Chennai it is advisable to drink only bottled water. Do not trust water from small local restaurants as it may be from the tap%2C and avoid cold or iced drinks that are not commercially sold (Bigger chains of eateries and juice shops can be trusted to an extent). Eating fresh vegetables and fruits that have sat outside in the presence of insects can also be unhealthy%2C although bananas and coconuts are usually safe because they are opened only immediately before eating. Hot drinks in restaurants such as tea%2C coffee%2C and other local specialties are safe%2C as are packaged/bottled drinks such as Aquafina water%2C Frooti (a popular local mango drink) and others. If you have access to a stove%2C boiling tap water before drinking is also an option. Never eat from roadside shops as the food is prepared in the most unhygienic conditions.
Machilipatnam,https://wikitravel.org/en/Machilipatnam,If you have the habit of drinking mineral water%2C better to continue the same habit. Though the tap water (municipal water) tastes good%2C as in the case of many places in India%2C outsiders may get infected easily. Mineral water is available every where and costs around Rs 15/- per litre bottle. All popular brands in India are available in shops.
Munger,https://wikitravel.org/en/Munger,A village in the Kharagpur subdivision%2C within the Kharagpur police-station with an area of 4137 acres. It is situated about 12 miles south-west of Kharagpur and four miles north of Guddih. Close to the village are some hot springs%2C called Tatal-pani (Tapta-pani) with are by far the finest in the district. The District Gazetteer of Monghyr published in 1926 quoted Captain Sherwill “The first spring is situated about 300 yards to north of village immediately under a small detached Hill named Mahadeva%2C from whose base the water issued in a fine stream at temperature of 1470 Fahrenheit . A few hundred yards farther to the north%2C at foot of the hornstone hill Damadama%2C we came upon a region of hot springs. Hot water appeared to be spouting from the ground in every direction; the principal spring%2C of which there are eight or ten%2C had uniform temperature of 1450%2C all rising within a space of about 300 yards square.
Puri,https://wikitravel.org/en/Puri,Prawn sold in the sea mouth grow up by eating rotten meat and are hybrid. If somebody eats it%2C there is a chance of getting sick in the near future. So tourists should be aware and avoid it. carry some snacks/water bottle while moving inside lake and advise boat man to stop boat fan/blade%2C while watching dolphin as these are precious animal%2Cenjoy satapada.
Surat,https://wikitravel.org/en/Surat,Night out: Surat is basically famous for its food and people. Surati people are as same as hippy in the terms of enjoyment. They like to hang out at nights with friends%2C families near the streets occupied by food stall and some gardens. people may often go on the bridge at the night to taste the calm water of river Tapti
Batam,https://wikitravel.org/en/Batam,City authorities claim that Batam's tap water is potable%2C but the rusty color puts some people off.  Most people choose to stick with bottled water anyway%2C about Rp. 10%2C000 for a 5-gallon jug.
Jakarta,https://wikitravel.org/en/Jakarta,There are three sources of tap water in Jakarta: 1) from drinking-water company%2C 2) from deep artesian wells%2C and 3) from shallow wells. Water from source #1 and #2%2C originally are drinkable when it leaves the source%2C but some pipes maybe ill-maintained. And there is no way for you to know if the source of your water is not from source #3 or not (unless if you ask). Hence%2C to be on the safe side%2C always drink bottled water%2C or boil your water before drinking it. Never drink tap water directly. In Depok and Bogor boiled tap water is considered drinkable%2C but in most areas of Jakarta%2C make your tea and coffee from bottled water.
Semarang,https://wikitravel.org/en/Semarang,Tap water in Indonesia is not potable. So do not drink your hotel tap water unless you boil it first. Bottled water is very popular and not expensive%2C popular brand is AQUA%2C ADES%2C 2 Tang etc. You can find them in department stores and mini mart such as Indomart%2C Alfa Mart and even in small street stalls (usually in the corner of street intersection).  In unfamiliar establishments or where you have no assurance of of sanitation standards%2C also take care with ice used in drinks.
Bari,https://wikitravel.org/en/Bari,The ancient part of the city%2C called Bari Vecchia by locals%2C literally Old Bari%2C is a beautiful mediaeval neighborhood you should not miss. Take a stroll and get lost in the maze of Bari Vecchia and try not to miss the  romanic Basilica of Saint Nicholas with its gold ceiling%2C its crypt and the magnificent cathedra of Bishop Elias. In the same square%2C also the Palazzo del Catapano and the Church of Saint Gregory are worth a visit. Even older (but later refurbished in baroque style) and equally interesting is the romanic Cathedral of Saint Sabino. Take a walk along the waterfront%2C on the top of the old city wallsand pass by the Fortino of Saint Antony%2C an old fort recently turned into a modern art gallery%2C and the former Monastery of Saint Scolastica (currently part of the University). The vast majority of the churches in Bari Vecchia are unfortunately closed to tourists. They are open on selected festivities%2C including Good Friday and the Solemnity of All Saints.
Roma,https://wikitravel.org/en/Rome,Water is free at designated water fountains%2C called nasoni (big noses) or simply fontanelle (small fountains). Not only the water's very fresh and good%2C but it comes from the famous springs scattered throughout the Lazio region - it is perfectly safe to drink. If you carry an empty bottle%2C fill it up for the rest of the day; look for the drinking fountain with constant running water%2C plug the bottom hole%2C and cool water will shoot up from a smaller hole on top of the tap. Don't put your lips round the hole at the bottom%2C as stray dogs tend to like to get a drink.
Venice,https://wikitravel.org/en/Venice,To save money at lunch%2C eat standing up - that's what Venetians themselves do. Every cafe%2C trattoria%2C osteria%2C enoteca or whatever it chooses to call itself is stocked at lunchtime with cicchetti - Venetian tapas%2C including tramezzini (triangular sandwiches on white bread)%2C bite-sized rolls with various cold cuts%2C polpette (fried balls of minced fish or meat) and assorted antipasti. Order by pointing at what you want on the glass shelves%2C and wash the whole thing down with a glass of wine (un' ombra) or a spritz (made with%2C in order of bitterness and alcohol content%2C Aperol%2C Campari or Select). Bear in mind that as soon as you allow yourself to sit at the table and be waited on%2C instead of ordering and consuming your food at the counter%2C the prices for the same items go up - you can end up paying double. If you look at the (government-mandated) chart of prices stapled to the wall near the bar%2C you'll see 2 columns of numbers%2C accommodating this arrangement. However%2C sitting is worth it if you plan on staying a while. Some places will also serve bread and water for seated patrons%2C but then there is usually also a small charge (€1-3 per person) for "pane e coperto" (bread and cover charge).
Mombasa,https://wikitravel.org/en/Mombasa,For precaution don't drink tap water and be carefull with ice cubes. Its always wise to follow the old british role for the tropics:"Peel it%2C cook it or forget it".Mombasa has 3 major well equipped private hospitals with high standards:the Aga Khan Hospital%2C the Pandhia Memorial Hospital and the Mombasa Hospital. Many smaller hospitals and clinics are spread out all over Mombasa and the North Coast.
Nairobi,https://wikitravel.org/en/Nairobi,Be careful with the food that you eat outside the more upscale establishments. Before eating%2C make sure that the food is freshly and thoroughly cooked and served hot. Also avoid seafood%2Capart from the upmarket restaurants and hotels%2C and make sure that your fruits and vegetables have been properly sterilized in clean water. The safest fruits to eat are bananas and papayas. Do not drink tap water or brush your teeth with it. Only use bottled or canned drinks (especially popular brands). Also%2C do not use ice as it may also be contaminated water%2C and remember that alcohol does not sterilize a drink. The general rule of thumb is%2C the more high end an establishment is%2C the greater the safety of the food and drink within.
Daegu,https://wikitravel.org/en/Daegu,Like the rest of Korea%2C Daegu is safe at any time of the day. Westerners%2C especially minorities or men with Korean women%2C may encounter hostility from drunken men%2C but this is increasingly rare. The tap water is safe%2C but newcomers with sensitive stomachs should be prudent with street food or with the spice levels. Be aware that some%2C but not all%2C ATM machines close before midnight if you need late-night drinking money.
Daejeon,https://wikitravel.org/en/Daejeon,Daejeon's tap water is "drinkable" however residents tend to boil their water or purchase affordable bottled water%2C or fill their own bottles at local parks or at the mountain springs that surround town.
Jinju,https://wikitravel.org/en/Jinju,Some people say that the tap water is drinkable%2C but others would recommend drinking bottled water%2C which is widely available.
Vientiane,https://wikitravel.org/en/Vientiane,The city's waterworks are called Nam PaPaa%2C which some may joke means "water without fishes". Yes%2C the fishes have been removed but not everything else. Don't drink the tap water%2C no matter how long it's been boiled (it tastes very industrial) - stick to the bottled water available everywhere%2C though even that varies in quality. Some people have a major preference for clear plastic bottles.
Johor Bahru,https://wikitravel.org/en/Johor_Bahru,Tap water should be boiled before drinking. As a rule of thumb%2C the general hawker food scene in Johor Bahru is hygienic though certain areas are less so. So keep an eye out for those dirty hawkers who pay very little attention to hygiene.
Kuala Lumpur,https://wikitravel.org/en/Kuala_Lumpur,Tap water in Kuala Lumpur is heavily chlorinated and thus safe%2C but unfortunately the pipes that carry it may not be.  Most locals boil or filter it before use; alternatively%2C bottled water is cheap and ubiquitous.There is no malaria in the city%2C but dengue fever can be a problem at times%2C so take precautions against mosquitoes.Between May and October%2C Kuala Lumpur is occasionally shrouded in dense haze from forest fires in Sumatra and Borneo%2C which can be a health concern for asthmatics and pretty unpleasant for everybody.  However%2C the haze comes and goes%2C and varies greatly from year to year: it was terrible in 2006%2C but non-existent in 2007%2C and had started again in 2008 and very clean after 2009 onward.  However%2C in June 2013 the smog was so severe that a state of emergency was declared.
Bamako,https://wikitravel.org/en/Bamako,If you go gradually (doni doni) you'll be able to drink Bamako's quite chemically tasting tap water. You shouldn't drink the unmarked sachets with water or syrupped water as long as you don't drink tap water -- though the branded sachets of mineral water are fine (50CFA).
Hermosillo,https://wikitravel.org/en/Hermosillo,Beer stores are located everywhere in Hermosillo. The most popular brands are Tecate%2C Pacifico%2C and Modelo (Corona).  In a hurry?  Look for a "Tecate Six" you can buy your beer in a drive-thru.  Coke and Pepsi are available at almost every restaurant and store%2C DrPepper is aviable at Extra%2C Santa fe and Super del Norte stores. Tap water is safe to drink%2C as Hermosillo is the only city that purifies the water before it goes to the pipes. While it is safe to drink the tap water%2C many of the locals suggest drinking purified bottled water%2C as the tap water contains some minerals which after years of drinking may cause (or may not) teeth stains.
Mexicali,https://wikitravel.org/en/Mexicali,While the city's restaurants are registered by the Health Department and clean water is available city-wide%2C eating at roadside taco shops and drinking tap water is discouraged because one who is not used to this%2C will probably get food poisoning%2C or Amoebic Dysentery. Avoid any foods you are not used to. Bottled water%2C gasified and pure%2C is widely available and you are encouraged to drink it.
Pachuca,https://wikitravel.org/en/Pachuca,Tap water is drinkable since it is extracted from underground wells%2C however%2C bottled water is available everywhere. There is no risk for natural disasters in the city.
Ulaanbaatar,https://wikitravel.org/en/Ulaanbaatar,There is also very little litter on the streets and the tap water is safe for sanitation purposes%2C even for brushing your teeth. Absolutely clear and without odors or tastes.
Marrakech,https://wikitravel.org/en/Marrakech,Street vendors offer fresh orange juice (jus d'orange) by the glass for Dh 4. Try it with a dash of salt like the locals%2C but be wary of vendors who try to water the juice down with tap water. Also%2C pay attention when you buy as they offer 2 types of orange...the blood orange juice costs Dh 10 per glass and a misunderstanding on what you want to drink could occur.
Marrakech,https://wikitravel.org/en/Marrakech,The tap water in Marrakech is OK for bathing. While locals drink it with no problems%2C visitors often find it hard to digest. To be safe%2C opt for bottled mineral water%2C available at the marketplace kiosks and food stalls. Make sure that the cap seal has not been broken%2C since Moroccan vendors have been known to save money by refilling plastic bottles from the tap. At restaurants%2C ask for your drinks without ice cubes%2C which are usually made with tap water.
Maputo,https://wikitravel.org/en/Maputo,Drink water from a bottle (25-40 MT/1%2C5 l)%2C not the tap.
Granada,https://wikitravel.org/en/Granada_(Nicaragua),Some will advise not to drink the tap water as it will make you sick%2C though most have no problems. Also%2C make sure when you buy bottled water that the top has not been opened because some people without scruples will fill the bottles with tap water.
Bergen,https://wikitravel.org/en/Bergen,Keep in mind that tap water is safe to drink and (usually) free of charge. To save money%2C ask for tap water to drink.
Bergen,https://wikitravel.org/en/Bergen,The local tap water is fresh%2C tasty and rich in minerals from the surrounding mountains%2C and safe to drink.
Oslo,https://wikitravel.org/en/Oslo,The tap water of Oslo is among the cleanest in the world. Do drink tap water instead of bottled water%2C which does nothing but drain your pocket of much needed kroner.
