Country,Source Link,Paragraph Content
Belgium,https://wikitravel.org/en/Belgium,Tap water is drinkable everywhere in Belgium%2C but most restaurants do not serve it.  Hot spring or some other mineral water is typically served and costs about 4 euro per 1 litter bottle.
Benin,https://wikitravel.org/en/Benin,Watch what you eat/drink and where you eat/drink it. If you are going to eat street food%2C make sure it is served very very hot%2C since bacteria will not live in hot food. The most common causes of sickness is e.coli bacteria found in undercooked meat. Drinking water is readily available%2C if you want bottled water there is "Possatome"- a natural spring water bottled in the city with the same name. It is very good and about 500 CFA a bottle. In Cotonou%2C the tap water is safe to drink but is treated with chlorine which some people may be sensitive to. Malaria is a reality in Benin. Mosquitoes appear from dusk to dawn%2C standing water is conducive to mosquito breeding; and anti-malarial pills are available by prescription only. The only compulsory vaccination needed to enter the country is against Yellow Fever. The customs agents at the airport generally do not check to see if you have it%2C but it is strongly advised to get it before entering for your own health. Along with vaccines against polio%2C hepatitis A and B%2C Measles%2C Mumps%2C Rubella%2C Lock Jaw%2C Rabies and all the other standard childhood vaccines (as per Canadian public school standards). AIDS is an issue in Benin as in all sub-Saharan African countries; use of a condom is highly recommended if entering into a sexual relationship with a Beninese partner. Other risks pertaining to unprotected sex are the same as in any other country whether developed or not: Syphilis%2C Chlamydia%2C HPV%2C etc. If traveling to Benin it is HIGHLY RECOMMENDED that you speak to a doctor who specializes in travel. Ask your family doctor or public health nurse for the name of a travel clinic in your area. Go to them about 6 months prior to travel to Benin if possible. This information is designed as a guide and should not be taken as an expert account on how to stay healthy in Benin%2C only a licensed health professional can provide such information.
Bolivia,https://wikitravel.org/en/Bolivia,'''Kaa Iya National Park''' - Part of the 2nd largest forested area in the world%2C this remote and rarely visited National Park is the best place in Bolivia to see big mammals%2C especially Jaguar%2C Tapirs and Pumas.'''Samaipata''' - Just 3 hours drive from Santa Cruz Bolivia%2C this inter Andean Town is the base for amazing adventures which include trekking Amboro National Park%2C The worlds best Condor trek%2C El Fuerte Ruins%2C Multiple Waterfalls%2C Che Guevara Route and more.'''Utuquis National Park''' - Bolivian Pantanal / Remote yet an amazing place to see Anacondas%2C Capybara%2C Birdwatching and the Marsh Deer'''Lomas de Arena''' - Protected area outside Santa Cruz %2C this 14%2C000 hectare desert offers excellent hiking%2C wildife viewing%2C birding and Sand boarding '''Santiago de Chiquitos''' - This incredible small town is host to a huge variety of adventures which include rock climbing%2C thermal rivers%2C waterfalls%2C rock paintings%2C music festivals%2C jungle treks and much more
Bolivia,https://wikitravel.org/en/Bolivia,You can't usually drink tap water in Bolivia. There's plenty of bottled water being sold in the stores. One note though: if you're not a Coca-Cola company (very strong in Bolivia) fan%2C in some towns you may have trouble getting water from other manufacturer.
Bosnia and Herzegovina,https://wikitravel.org/en/Bosnia_and_Herzegovina,Like in much of Europe%2C smoked meats are one of staples of Bosnian cuisine%2C more so even than the stereotypical foods of pita & cevapi. Amongst the non-Muslim populations pork is king%2C and prosciutto%2C smoked neck%2C smoked ribs%2C bacon%2C and hundreds of other varieties of smoked sausage make this a real BBQ and dry-cuts country. The Muslims%2C of course%2C have equally-tasty lamb or beef alternatives. The meat is prepared by first curing in salt for several days%2C which removes water & dehydrates the meat%2C while the high-concentrations of salt preserve the meat from spoiling. After being cleared of salt%2C rubbed with spices (a Bosnian dry rub is usually very simple%2C and includes some combination of high-quality fresh peppercorns%2C hot paprika%2C salt%2C onions & garlic%2C and sometimes with a few spoons of Vegeta%2C a popular powdered all-spice mix similar to an Oxo flavor cube)%2C the meat is then hung over a heavy smoke made by a wood fire. Fruit trees are well-known by BBQ aficionados around the world to produce the most flavorful smoke and apple%2C cherry%2C and walnut trees are the most commonly used in Bosnia. Whereas commercially produced deli meats (of the sort you may buy at your local deli) are most often dry-cured or hung in dehydrating fridges and only then pressure-smoked for a few hours to allow some flavor to permeate the meat%2C Bosnian smoked meat is painstakingly smoked up to three months. The meat hangs in a "smoke house%2C" a tiny wooden shed usually only big enough to light a fire and hang the meat. Bosnians will only smoke meat in the fall or winter%2C because the low temperatures%2C together with the salt curation%2C allow the meat to hang for months without spoiling. During this time%2C it is smoked up to 4 times a week%2C for 8-10 hours at a time%2C which infuses the meat with the flavor of the smoke and removes any remaining water. The finished product has an incredibly strong aroma and flavor of smoke%2C with the texture of chewy beef jerky. Depending on the cut of meat%2C the most noticeable difference between smoked meat produced this way and the commercially produced meat available in North America%2C is the color inside the meat. Whereas commercial deli meat is usually soft%2C red%2C a little wet and fairly raw%2C Bosnian smoked meat is black throughout with only a slight tinge of pink. Larger cuts of meat%2C like the Dalmatian prosciutto%2C do tend to be a bit more pink & softer inside%2C but the difference is still dramatic%2C since the Balkan-made prosciutto has much less water%2C is chewier and overall better smoked. Such meat is most often consumed at breakfast time%2C in sandwiches%2C or as meza%2C a snack platter of meats%2C cheeses%2C peppers%2C Ajvar%2C and other small bites commonly brought out to greet and welcome guests to one's home. For the visitor%2C smoked meats are a cheap and incredibly flavorful lunch meat%2C and can be bought at Bosnian marketplaces from people who usually prepare it themselves. Have a pork neck sandwich with some Bosnian smoked cheese and a salad of fresh tomatoes in a bun of fresh and crisp homemade bread%2C and you'll never want to leave.
Bosnia and Herzegovina,https://wikitravel.org/en/Bosnia_and_Herzegovina,Tap water is safe for drinking around the country. If you're unsure%2C buy bottled water%2C which is cheap to buy.
Botswana,https://wikitravel.org/en/Botswana,Throughout Botswana the tap water is safe to drink (this general advise is taken with care%2C as it varies considerably depending on the area - so make sure you ask locals and travelers alike before drinking it!). Good fruit juice is hard to find (South African 100% juice blends are the norm) although Spar do a range of good juices.  The national beer%2C St Louis%2C is often derided by foreigners as being worse than domestic US lagers. Most opt for Namibian or South African imports.Bottle stores are widely found in most places%2C and even regular%2C slightly bigger supermarkets are allowed to sell booze.
Botswana,https://wikitravel.org/en/Botswana,Water in urban areas is chlorinated%2C and is drunk from the tap by the local population.  Still%2C short term visitors with sensitive stomachs may feel more secure drinking bottled water.  Outside of urban areas%2C the water is untreated and straight from the borehole and poses a slightly higher risk to the traveller.
Brazil,https://wikitravel.org/en/Brazil,Tap water varies from place to place%2C (from contaminated%2C saline or soaked with chlorine to plain drinkable) and Brazilians themselves usually prefer to have it filtered.
Brazil,https://wikitravel.org/en/Brazil,In airports%2C bus stations%2C as well as many of the cheaper hotels%2C it is common to find drinking fountains (bebedouro)%2C although not always safe. In hostel kitchens%2C look for the tap with the cylindrical filter attached. In more expensive hotels%2C there is often no publicly accessible fountain%2C and bedrooms contain minibars — selling you mineral water at extremely inflated prices.
Brunei,https://wikitravel.org/en/Brunei,Eating out is generally safe because of good food safety standards%2C although tap water is not fit for drinking & should be boiled first. Alternatively%2C bottled water is very cheap.
Bulgaria,https://wikitravel.org/en/Bulgaria,Being a staple%2C and quite favourite around the country%2C Bulgarian yogurt is also an ingredient in many dishes%2C the most famous one being tarator (таратор)%2C a cold soup made from yoghurt%2C water%2C  cucumbers%2C garlic%2C dill and walnuts. A drink called ayran - a salted yoghurt-water mixture - is also very popular.
Bulgaria,https://wikitravel.org/en/Bulgaria,There are more than six hundred mineral water springs around the country%2C so local mineral water is something you should try. In most regions%2C tap water is safe to drink%2C but it is better to ask the locals first.
Bulgaria,https://wikitravel.org/en/Bulgaria,Tap water in most of Bulgaria is safe to drink%2C and natural mineral water is also cheap and widely available. Since Bulgaria is a mountainous country%2C natural springs are quite abundant and many villages have one or more mineral springs.
Cambodia,https://wikitravel.org/en/Cambodia,The tap water supply in Phnom Penh has undergone significant changes following a "water revolutionary" in the government%2C Ek Sonn Chan. Consequently in Phnom Penh it is said that you can drink the tap water without problem%2C although it is highly chlorinated and may be sluiced through old rusty or leaded pipes - drink at your own risk.  Locals usually do not drink the tap water.
Cambodia,https://wikitravel.org/en/Cambodia,Outside of Phnom Penh and Siem Reap tap water should be assumed not to be potable. Cambodian branded water in blue plastic bottles sell for 1000 riels or less%2C although prices are often marked up for tourists to 50 cents or a dollar.
Cameroon,https://wikitravel.org/en/Cameroon,Avoid drinking tap water%2C even in restaurants. Bottled water can be found most anywhere at reasonable prices. Expect to pay 400 cfa for 1.5l in the major cities%2C more in more remote areas.
Canada,https://wikitravel.org/en/Canada,You can find most nonalcoholic beverages you would find in any other country. Carbonated beverages (referred to as "pop"%2C "soda" and "soft drinks" in different regions) are very popular. Clean%2C safe drinking water is available from the tap in all cities and towns across Canada. Bottled water is widely sold%2C but it is no better in quality than tap water%2C so you'll save a lot of money by buying a reusable water bottle and filling it up from the tap.
Cape Verde,https://wikitravel.org/en/Cape_Verde,In the resorts%2C the tap water is usually desalinated and safe to drink. In other areas%2C bottled water is cheap and commonly available.
Chile,https://wikitravel.org/en/Chile,Tap water is safe to drink%2C although bottled water is ubiquitous.
China,https://wikitravel.org/en/China,Asking for ice is best avoided. Many%2C perhaps most%2C places just don't have it. The ice they do have may well be made from unfiltered tap water and arguably unsafe for travelers sweating bullets about diarrhea.
China,https://wikitravel.org/en/China,The Chinese do not drink water straight from the tap%2C and tourists should not either. All hotels (even boats) provide either a thermos flask of boiled water in guest rooms (refillable by the floor attendant) or - more commonly - a kettle the guest can use to boil water. Generally%2C tap water is safe to drink after boiling. Purified%2C bottled water is widely available and a small bottle usually costs ¥1. Check that the seal on the cap is not broken. Beer%2C wine and soft drinks are also cheap and safe.
Colombia,https://wikitravel.org/en/Colombia,The water is drinkable straight from the tap in most of the major cities%2C but be prepared to buy some bottles if you go to the countryside. Agua Manantial Bottled water is recommended%2C it comes from a natural spring near Bogotá. Some advice%2C make sure you do not use ice cubes%2C or drink any beverage that might contain non distilled water%2C ask if the beverage is made with tap or bottled/boiled water.
Costa Rica,https://wikitravel.org/en/Costa_Rica,Most places (such as cities) have potable water%2C so don't worry about drinking tap water. Bottled water is also available at low prices. Nevertheless%2C exercise caution about places with doubtful water sources. These places tend to be away from population centers or near the beach/coast.
Costa Rica,https://wikitravel.org/en/Costa_Rica,Tap water in urban areas of the country is almost always safe to drink. However%2C being cautious may be in order in rural areas with questionable water sources.
Croatia,https://wikitravel.org/en/Croatia,Tap water in Croatia is perfectly safe%2C and in some areas considered the best in the world. However%2C you can still choose from several brands of excellent bottled water (Jamnica being the most popular%2C and Jana%2C several times awarded as the world's best bottled water).
Cuba,https://wikitravel.org/en/Cuba,Don't drink tap water. Water in Cuba is generally safe; however%2C it is highly chlorinated to kill all tropical germs. People not accustomed to such chlorine concentration may experience vomiting%2C diarrhea or stomach spasms.
Cuba,https://wikitravel.org/en/Cuba,Cuban milk is usually unpasteurized%2C and can make visitors sick. Additionally%2C tourists should be wary of vegetables washed in tap water. Despite the warnings%2C most Cuban food is safe to eat and you do not need to be paranoid.
Czech Republic,https://wikitravel.org/en/Czech_Republic,Tap water is good and perfectly safe across the country%2C although in some small towns%2C the chlorine can be quite strong.
Denmark,https://wikitravel.org/en/Denmark,Tap water is potable unless indicated. The regulations for tap water in Denmark even exceeds that of bottled water in general%2C so don't be offended if you notice a waiter filling a can of water at the sink. Restaurants and other places selling food are visited regularly by health inspectors and are awarded points on a 1-4 "smiley scale". [67] The ratings must be prominently displayed%2C so look out for the happy face when in doubt. While pollution in the major cities can be annoying it doesn't pose any risk to non-residents. Nearly all beaches are fine for bathing - even parts of the Copenhagen harbour recently opened for bathing (read the Stay safe section).
Dominica,https://wikitravel.org/en/Dominica,There are many vendors of fruit juice in Roseau.  Almost without exception this is non-pasturised fruit juice with water and sugar added.  The added water is usually chlorinated tap water.A juice vendor known as Pal sells his juice by the area where one can find a bus to Portsmouth.  Pal is one of the most enthusiastic and knowledgeable fruit vendors on the island.  He sometimes has juice from rare fruits.
Dominica,https://wikitravel.org/en/Dominica,Tap water is safe to drink%2C but since it is sometimes drawn straight from Dominica's many rivers%2C it has a tendency to turn brown after heavy rainfall.  It's better to drink the bottled water available almost anywhere.
Dominican Republic,https://wikitravel.org/en/Dominican_Republic,Do not drink tap water! Locals%2C even in the most rural areas%2C will either boil their water or purchase bottled water. Eating salads or other food that may be washed in tap water is not advisable. Ice is a bad idea as well%2C except when in luxury hotels and restaurants (which produce ice from bottled water). If you plan on cooking or washing dishes for longer stays%2C it is a good idea to rinse everything with bottled or boiled water before use. In every community%2C there will be one or more colmados (the same thing as what people in Puerto Rico call bodegas) where you can buy small amounts of everything. Water is sold in bottles at 15 pesos and up; it is also sold in plastic bags (fundas) at 2 for 5 pesos%2C but the best way (by ecological and economic means) to buy drinkable water in the Dominican Republic is to buy a botellón which is a big%2C refillable bottle of water. It costs 50 pesos for a refill of 17 litres (5 gallons)%2C and the canister (botellón) itself costs around 200 pesos. If you stay somewhere for a few days%2C you may ask about buying it just for a few days%2C and you will probably get a full refund when you return it.
Dominican Republic,https://wikitravel.org/en/Dominican_Republic,Avoid drinking local tap water and only drink bottled water or other beverages. It is important for visitors to stay hydrated in the hot%2C humid climate.
Ecuador,https://wikitravel.org/en/Ecuador,Bottled water is very common and is safe to drink; it comes con gas (carbonated) and sin gas (non-carbonated). Water from the tap is unsafe to drink. Even Ecuadorians generally only drink bottled (or boiled) water.
Egypt,https://wikitravel.org/en/Egypt,No matter where you buy bottled water from (even hotels are not entirely reliable)%2C before accepting it check that there is a clear plastic seal on it and the neck ring is still attached to the cap by the breakable threads of plastic. It is common to collect empty but 'new' bottles and refill them with tap water which drinking a bottle of will make you ill. Not all brands have the clear plastic cover but all the good ones do.
Egypt,https://wikitravel.org/en/Egypt,Egyptian tap water is generally considered safe by locals%2C but is not recommended for regular drinking%2C especially to very local differences in quality. Bottled mineral waters are widely available -- see Drink:Water section. Beware of the old scam%2C however%2C whereby vendors re-sell bottled water bottles%2C having refilled with another (perhaps dubious) source.... Always check the seal is unbroken before parting with your money (or drinking from it) and inform the tourist police if you catch anyone doing this....
El Salvador,https://wikitravel.org/en/El_Salvador,Ameobas and other parasites are commonly in tap and well water%2C so beware of where you buy your drinks and what your ice looks like.  A good rule of thumb is that if the ice is molded (i.e. round cylinders with a hole in the middle%2C or perfect squares) it is usually purified water bought from a store and therefore safe to have in your drink.  If it looks like it has been broken apart with an ice pick it's suspect.  In Puerto La Libertad%2C many commodores (local restaurants often operating out of someone's house) get their ice from the fishing co-op on the beachfront street.  When you see what else that ice comes in contact with%2C you will change your mind about drinks with chipped ice in them!
Eritrea,https://wikitravel.org/en/Eritrea,Tap water should not be drunk by foreigners. There is plenty of relatively cheap bottled mineral water%2C both carbonated and non-carbonated in Eritrea.
Eritrea,https://wikitravel.org/en/Eritrea,Do not drink the tap water and even check bottled water to make sure the cap is sealed. Be very careful what you eat. Many people get sick here. There is a Jordanian UN hospital that will treat foreigners. Local hospitals have inadequate facilities. Be healthy if you come here. Avoid uncooked food and unbottled drinks.
Estonia,https://wikitravel.org/en/Estonia,Tap water is drinkable everywhere unless in the rare cases a sign has been posted that it is not.
Ethiopia,https://wikitravel.org/en/Ethiopia,Do not drink tap water. Bottled water for drinking is available almost everywhere in small%2C medium and big bottles. Addis tap water is better than in many other cities%2C but even the hotels generally recommend that guests do not drink it%2C nor eat salads or other uncooked food that is commonly washed in tap water. However%2C do make sure you drink enough water%2C especially when the weather is hot.
Fiji,https://wikitravel.org/en/Fiji,Fiji is relatively free of disease compared to most of the tropics. Avoid mosquito-borne illnesses%2C such as dengue fever and even elephantiasis by covering up thoroughly or using repellents while outdoors at dawn or dusk. Local water is generally safe%2C though filtering or boiling is advisable when unsure. Urban tap water is treated and nearly always safe. When exceptions occasionally arise%2C there are public warnings or radio and print media warnings. Contaminated food is uncommon%2C though on occasion%2C mature reef fish can contain mild neurotoxins they accumulate in their bodies from freshwater algaes that wash into the ocean. The effects of such "fish-poisoning" are usually intense for only a day or two%2C but tingling lips and unusual sensitivities to hot and cold can linger for a long time.
Finland,https://wikitravel.org/en/Finland,Thanks to its thousands of lakes%2C Finland has plenty of water supplies and tap water is always potable (In fact%2C never buy bottled water if you can get tap water!).  The usual soft drinks and juices are widely available%2C but look out for a wide array of berry juices (marjamehu)%2C especially in summer%2C as well as Pommac%2C an unusual soda made from (according to the label) "mixed fruits"%2C which you'll either love or hate.
Finland,https://wikitravel.org/en/Finland,You're unlikely to have stomach troubles in Finland%2C since tap water is always drinkable (and generally quite tasty as well)%2C and hygiene standards in restaurants are strict. If you have any sort of allergies%2C many restaurants often display in the menu the most common ingredients that people typically are allergic to. Examples: (L) = Lactose free%2C (VL) = Low Lactose%2C (G) = Gluten free%2C if you are unsure just ask the waitress or restaurant staff.
France,https://wikitravel.org/en/France,Fixed price menus seldom include beverages (if drinks are included%2C the menu will state 'boisson comprise'). If you want water%2C waiters will often try to sell you still mineral water (Évian%2C Thonon) or sparkling water (Badoit%2C Perrier)%2C at a premium; ask for a carafe d'eau (bottle of tap water)%2C which is safe to drink (and%2C by law%2C must be provided free of charge when you order food at a restaurant). Water never comes with ice in it unless so requested (and water with ice may not be available).
France,https://wikitravel.org/en/France,Tap water (Eau du robinet) is drinkable%2C except in rare cases such as rural rest areas and sinks in train bathrooms%2C in which case it will be clearly signposted as Eau non potable. Eau potable is potable water. (You may%2C however%2C not like the taste which may be chlorinated%2C bottled water is common.)
Germany,https://wikitravel.org/en/Germany,Tap water has a good quality%2C is very strictly controlled and can be freely used for consumption. Exceptions have to be labelled ("Kein Trinkwasser" = not drinking water)%2C usually found on fountains and in trains.
Ghana,https://wikitravel.org/en/Ghana,Drinking water from the tap is not generally considered to be safe%2C so choices include plastic bottled water (eg. Voltic%2C 1.5 litre%2C c. GHS1.00)%2C boiled or filtered tap water%2C and "pure water" sachets. These sachets are filtered and come in 500mL portions. At least one study has suggested bottled water to be the safest choice.   Although "pure water" sachets are more easily accessible and very cheaper (10 pesawas each)%2C 2.3% of sachets tested were found to contain faecal bacteria. If you want to play it safe%2C stick with carbonated beverages or bottled water.
Greece,https://wikitravel.org/en/Greece,Tap water in most places a traveller would go today is drinkable; if in doubt%2C ask your hotel. But often though technically drinkable it doesn't taste very good%2C especially on some small islands (as it is imported in and heavily chlorinated)%2C and many travellers%2C like many Greeks%2C prefer to stick to bottled water. By law%2C water prices in shops must remain within acceptable and very cheap limits (50 eurocents for 1/2 litre)%2C making it much cheaper than in Anglosphere nations.
Guinea,https://wikitravel.org/en/Guinea,Water bottled in the name of Coyah is available everywhere for about USD0.50 per 1.5 litre bottle and is very good. Conakry's tap water is generally not safe unless filtered/boiled.
Guyana,https://wikitravel.org/en/Guyana,Guyana embodies gastronomical lineage from the Chinese%2C Indians%2C Pakistanis%2C Africans%2C Portuguese%2C Dutch%2C British and the Indigenous Peoples. While the big cities like Georgetown and Lethem have ample restaurants and bars for global and local cuisines%2C the authentic flavours of Guyana are best sampled in the inland areas.  Plan to sample indigenous foods such as cassava bread%2C farine with tuma pot (a meat dish that is cooked in cassava water with a variety of spices) and tasso (preserved salted beef strips). In the city restaurants%2C you can find flavours from Indian kitchens (rice-curry combos are staple)%2C Chinese cuisines and International fare. Some of the popular restaurants include Backyard Café%2C The Bottle Bar and Restaurant at Cara Lodge%2C and the Caribe Boardwalk Pool Bar & Grill%2C Great Room and the Terra Mare Restaurant at the Marriott.
Guyana,https://wikitravel.org/en/Guyana,Do not drink the tap water%2C unless you want to spend a great part of your vacation on the toilet! Bottled water is readily available in a variety of brands.
Haiti,https://wikitravel.org/en/Haiti,Tap water should be avoided. Drink bottled water only.
Haiti,https://wikitravel.org/en/Haiti,Sanitary conditions in Haiti are poor. Tap water should be avoided. Drink bottled water only.
Hong Kong,https://wikitravel.org/en/Hong_Kong,Tap water in Hong Kong has been proven to be drinkable%2C although most of the local people still prefer to boil and chill their drinking water when it is taken from the tap. The official advice from the Water Board is that the water is perfectly safe to drink unless you are living in an old building with outdated plumbing and poorly maintained water tanks. Bottled water is strongly recommended by locals but remember that Hong Kong's landfill sites are filling up fast and plastic bottles are a major environmental problem%2C so use recycling bins where provided.
Hungary,https://wikitravel.org/en/Hungary,Thermal waters abound in Hungary with over 1000 thermal springs in the country (more than 100 just in the Budapest area) many of which have been turned into baths and spas. The most famous being the Szechenyi baths in Budapest. It was completed in 1913 and built in Modern Renaissance style. This is the biggest thermal bath complex in Europe%2C its venue is the Budapest City Park. There are%2C however%2C hundreds of individual baths all around the country. The cave baths at Miskolc-Tapolca and the spa at Egerszalók are some nice examples. The first thermal baths were erected by the Romans more than 2000 years ago.
Hungary,https://wikitravel.org/en/Hungary,It should be noted though that as it is the case of most European countries%2C in Hungary it is safe to drink tap water anywhere%2C even in 'remote' settings. Bottled waters are offered in a large selection%2C both the fizzy (blue bottle cap buborékos) and still (red/pink bottle cap) water and it is cheap (starts from less than 100 HUF for one and half liter). The only notable exception of the drinking water are trains where the tap water is not drinkable and other places where tap water is labeled as such.
Iceland,https://wikitravel.org/en/Iceland,Tap water is safe to drink in Iceland and it has some of the cleanest water in the world. Coffee is easy to find and is comparable to what is found throughout Europe. Juices are generally imported and made from concentrate.
Iceland,https://wikitravel.org/en/Iceland,If you're travelling on a budget%2C camping is your best bet. There are sites located throughout the country%2C especially at places you'd want to visit. They range from fully-equipped (hot showers%2C washing machines%2C cooking facilities) to farmers' fields with a cold-water tap. Expect to pay 500-1000 Kr per person per night.  If you intend to camp in Iceland you must be prepared for the cold%2C 3 season sleeping bags are essential and an inner%2C I would also highly recommend thick pyjamas and a warm hat! A bedding roll is also useful as you may end up sleeping on very rough ground...and that's just not very comfortable at all!  Don't wait until last minute to find a place to camp. Campers and mobile homes have become immensely popular among Icelanders and they take up a lot of space. You could arrive at a large camping ground that's so filled up with campers and mobile homes that you'll have no place to pitch your tent.
Iceland,https://wikitravel.org/en/Iceland,The water quality in Iceland is excellent and tap water is always drinkable.
India (Hindustan),https://wikitravel.org/en/India,As for bottled water%2C make sure that the cap's seal has not been broken%2C otherwise%2C it is a tell tale sign of tampering or that unscrupulous vendors reuse old bottles and fill them with tap water%2C which is generally unsafe for foreign tourists to drink without prior boiling.  Bottled water brands like Aquafina (by PepsiCo) and Kinley (by Coca-Cola) are widely available.  Local brands like Bisleri are also acceptable and perfectly safe.  Tastes may vary due to the individual brands' mineral contents. Avoid most locally sold soft drinks and soda's%2C they are known to have strong dyes and chemicals and can lead to nausea%2C diarrhea%2C and headache.
India (Hindustan),https://wikitravel.org/en/India,Tap water is generally not considered safe for drinking at many installations%2C even by local populace. However%2C many establishments have water filters/purifiers installed%2C in which case the water may be safe to drink. Packed drinking water (popularly called "mineral water" throughout India) is a better choice. Bisleri and Kinley among others are some of the more popular and safe brands. However%2C please check for whether the seal is intact or not as on some occasions%2C if the seal has been tampered%2C it could be nothing but purified tap water or worse%2C unfiltered water. On Indian Railways%2C a particular mineral water brand is generally available known as "Rail Neer"%2C which is considered to be safe and pure.
India (Hindustan),https://wikitravel.org/en/India,Fruits that can be peeled such as apples and bananas%2C as well as packaged snacks are always a safe option. As is the practice with the native population%2C always wash the fruits and vegetables prior to cooking%2C with water. Municipality provided running tap water is generally considered safe to do so and this should not pose any later harm.
Indonesia,https://wikitravel.org/en/Indonesia,Tap water is generally not potable in Indonesia. Water or ice served to you in restaurants may have been purified and/or boiled (air minum or air putih)%2C but do ask.  Bottled water%2C usually known as Aqua after the best-known brand%2C is cheap and available everywhere%2C but check that the seal is intact.
Indonesia,https://wikitravel.org/en/Indonesia,Most hotels provide free drinking water because tap water is rarely potable.  Do not use tap water for brushing your teeth.  Also beware of ice which may not have been prepared with potable water or kept in hygienic conditions.
Iran,https://wikitravel.org/en/Iran,Tap water is safe to drink in most of the country (and especially the cities)%2C although you may find the chalkiness and taste off-putting in some areas (mainly Qom%2C Yazd%2C Hormozgan and Boushehr provinces).  Bottled mineral water (āb ma'dani) is widely available. Also%2C on many streets and sites%2C public water fridges are installed to provide drinking water.
Iraq,https://wikitravel.org/en/Iraq,As a walk past an Iraqi butcher shop will demonstrate%2C food preparation standards are not the same as in Western countries%2C and consumption of local food can make a visitor ill.  Try to bring your own.  As tap water is generally not potable%2C you should especially avoid uncooked foods.
Israel,https://wikitravel.org/en/Israel,Tap water is potable and perfectly safe for drinking all throughout Israel%2C big cities and rural parts alike.
